MODULE	L1	L1_pv	L1/L2	L1/L2_pv	NUMBER_OF_GENES
BIOCARTA_IL5_PATHWAY	0.8865757355348727	0.0	513.8871524006604	0.0	9
Lessnick_EWS-FLI_All_signature	0.5210343940768538	0.0	2.9293202232491358	0.047	770
REACTOME_OLFACTORY_SIGNALING_PATHWAY	0.5821616992227162	0.001	4.153416721340864	0.013	327
Lessnick_EWS-FLI_Down_signature	0.5786918294772746	0.001	3.0214963301499176	0.123	280
REACTOME_PD1_SIGNALING	0.8578483029119256	0.003	18.309636175633994	0.004	17
REACTOME_GLYCOPROTEIN_HORMONES	0.8570155113427562	0.005	58.65357950059278	0.003	11
REACTOME_COMMON_PATHWAY	0.8483642341404494	0.008	14.50683070222947	0.032	13
REACTOME_NCAM1_INTERACTIONS	0.7118983782170633	0.009	5.9442217772546835	0.04	37
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.7079341767706129	0.01	4.512870316157408	0.092	53
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS	0.826004874514522	0.014	14.300132918985861	0.032	13
REACTOME_XENOBIOTICS	0.8089171324040395	0.014	14.962572167219296	0.01	15
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_ACTIVITY_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.7949585963367231	0.018	12.53945017658194	0.012	15
BIOCARTA_STEM_PATHWAY	0.8083768854353499	0.02	12.695173894472497	0.042	13
BIOCARTA_ACE2_PATHWAY	0.8049950171950296	0.023	11.020209076169236	0.058	12
BIOCARTA_CYTOKINE_PATHWAY	0.774855356857858	0.023	6.163321472393453	0.089	21
BIOCARTA_DC_PATHWAY	0.7587343905756936	0.028	7.821914395872269	0.052	21
ECM	0.5653334385958597	0.033	3.578144069364822	0.096	100
REACTOME_ENDOGENOUS_STEROLS	0.7792606513489521	0.034	11.808931907083286	0.052	14
REACTOME_ANDROGEN_BIOSYNTHESIS	0.7758432255202374	0.04	14.254947831422587	0.032	9
REACTOME_BETA_DEFENSINS	0.6439076072773543	0.04	7.268081719681094	0.017	41
BIOCARTA_ASBCELL_PATHWAY	0.7724303786251172	0.043	7.9652223202591035	0.098	11
REACTOME_DEFENSINS	0.6341226104122096	0.048	7.180183504882035	0.017	50
BIOCARTA_PLATELETAPP_PATHWAY	0.7681709901417169	0.05	9.543510332606168	0.072	13
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	0.7311841089335306	0.05	8.345189990524021	0.041	16
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.6298988605626198	0.052	2.5890485237389624	0.404	40
REACTOME_COLLAGEN_FORMATION	0.6293465434906033	0.052	4.359772710444566	0.096	55
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	0.7626331094787117	0.054	15.006298882812928	0.03	9
